6_0: ['6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
6_135: ['6', '9', '6', '6', '9', '9', '6', '6', '9', '6']
6_180: ['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']
6_225: ['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']
6_270: ['6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
6_315: ['6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
6_45: ['6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
6_90: ['6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
9_0: ['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']
9_135: ['6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
9_180: ['6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
9_225: ['6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
9_270: ['6', '6', '6', '9', '6', '6', '9', '9', '6', '6']
9_315: ['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']
9_45: ['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']
9_90: ['6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
