cube_front_0: ['BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND']
cube_front_135: ['INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT']
cube_front_180: ['INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT']
cube_front_225: ['INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT']
cube_front_270: ['INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT']
cube_front_315: ['BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND']
cube_front_45: ['INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT']
cube_front_90: ['INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT']
sphere_front_0: ['INFRONT', 'INFRONT', 'INFRONT', 'BEHIND', 'INFRONT', 'BEHIND', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT']
sphere_front_135: ['BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND']
sphere_front_180: ['BEHIND', 'BEHIND', 'BEHIND', 'INFRONT', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND']
sphere_front_225: ['BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND']
sphere_front_270: ['BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND']
sphere_front_315: ['INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT', 'INFRONT']
sphere_front_45: ['BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND']
sphere_front_90: ['BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND', 'BEHIND']
